Restaurant Name,Rating,Reviews,Type of Cuisine,Price Level
Blaze Pizza,4,589,"Pizza, Salad, Fast Food",$
Osteria Fasulo,4.2,364,Italian,$$$
Davis Noodle City,3.4,548,"Taiwanese, Chinese, Noodles",$
Wingstop,2.5,225,Chicken Wings,$$
i-Tea,3.5,171,"Bubble Tea, Juice Bars & Smoothies, Ramen",$
Teabo Café,3.5,661,"Cafes, Bubble Tea",$
Jack in the Box,2,152,"Fast Food, Burgers, Tacos",$
Tasty Kitchen,3.3,326,Cantonese,$$
Froggy's,4,344,"Bars, Burgers, American",$$
Fourteasons Coffee & Tea,4,149,Bubble Tea,$
Wok of Flame,4,658,"Chinese, Desserts",$$
Lazi Cow,3.5,535,"Desserts, Bubble Tea, Ramen",$
Taco Bell,2.4,98,"Fast Food, Mexican",$
Yeti Restaurant,4.1,474,"Indian, Himalayan/Nepalese, Seafood",$$
Jack's Urban Eats,3.1,358,"American, Salad, Sandwiches",$$
Ume Tea - Davis,4.5,284,Bubble Tea,$$
Pink Dozen,4.7,143,Donuts,$
Tommy J's Grill & Catering,4.3,466,"Burgers, American, Bars",$$
Sudwerk Brewing Co,3.8,261,"Breweries, New American, Cocktail Bars",$
Davis Sushi & Fusion,4.3,35,"Sushi Bars, Noodles, Asian Fusion",NaN
Huku Japanese Bistro,4.1,534,"Japanese, Sushi Bars",$$
Nopalito Taqueria,3.7,6,Mexican,NaN
Capitol Cakery,5,8,Desserts,NaN
Taqueria Guadalajara Grill - South Davis,3.9,446,Mexican,$$
Cattlemens,3.8,1300,"Seafood, Steakhouses, American",$$$
Black Bear Diner Davis,3.5,677,"American, Breakfast & Brunch, Diners",$$
In-N-Out Burger,4.1,475,"Fast Food, Burgers",$
Sophia's Thai Bar & Kitchen,3.5,875,"Thai, Seafood, Cocktail Bars",$$
Mr. Pickle's Sandwich Shop,3.9,153,"Sandwiches, New American, Soup",$
Symposium Restaurant & Pizza House,3.7,228,"Pizza, Greek",$$
Philz Coffee,4,280,"Coffee & Tea, Breakfast & Brunch",$
Zen Toro Japanese Bistro & Sushi Bar,3.8,593,"Sushi Bars, Japanese",$$
Sahara Kebabs,4.5,11,Food Trucks,NaN
TOMO Tea House,4.3,83,"Bubble Tea, Coffee & Tea, Donuts",$$
Pho King 4,2.8,808,"Vietnamese, Chinese",$$
Mumpys street eats,3.8,24,"Food Trucks, Tacos, Caterers",NaN
Orangecourt,4,2,"Massage, Hot Dogs, Thai",NaN
Tres Hermanas,3.5,455,"Mexican, Bars",$$
Noah's NY Bagels,2.5,256,"Bagels, Breakfast & Brunch, Sandwiches",$$
Beach Hut Deli,3.3,208,"Sandwiches, Delis, Salad",$$
Kathmandu Kitchen,3.7,590,"Indian, Himalayan/Nepalese",$$
El Patio Fresh Mexican Grill,3.7,251,"Breakfast & Brunch, Tacos",$
Fusion Fresh Cafe,3.8,25,Food Trucks,$
Nami Sushi,3.6,344,"Sushi Bars, Japanese",$$
Aria Hungry,5,3,Bakeries,NaN
Temple Coffee Roasters,4.3,634,"Coffee & Tea, Coffee Roasteries",$$
The Candy House of Davis,4.7,86,"Candy Stores, Chocolatiers & Shops",$$
IHOP,2.6,200,"Breakfast & Brunch, American, Burgers",$$
Insomnia Cookies,3.3,177,"Desserts, Ice Cream & Frozen Yogurt, Food Delivery Services",$
Pizza Guys,3.6,116,"Pizza, Chicken Wings",$
Ding How Restaurant,3.4,328,"Chinese, Vegetarian, Vegan",$
Panera Bread,2.9,209,"Sandwiches, Salad, Soup",$
Three Mile Brewing,4.5,136,Breweries,$$
Maui Smoothie,4.8,6,"Food Trucks, Juice Bars & Smoothies, Coffee & Tea",NaN
Teaspoon,4.6,176,Bubble Tea,$
Zacapa Papusas Y Mas,4.8,4,"Food Trucks, Salvadoran",NaN
Spokes,3.4,9,"Burgers, Fast Food, Bubble Tea",NaN
Icekrimski Cafe,4.2,181,"Ice Cream & Frozen Yogurt, Cafes",$
Cuarto Dining Commons,4.2,19,"Buffets, Cafeteria",$
Preethi Indian Cuisine,3.7,414,"Indian, Vegan, Soup",$$
Hunan Bar & Restaurant,3.5,360,"Chinese, Seafood, Bars",$$
Handheld Sweet And Savory Pies,4,5,"Desserts, Food Trucks",NaN
Dos Coyotes Border Cafe,3.6,585,"Tex-Mex, Tacos",$
Why Not Boba,3.6,37,"Donuts, Bubble Tea, Coffee & Tea",NaN
Davis Creamery,4.4,428,"Ice Cream & Frozen Yogurt, Desserts",$
T% Coffee + Tea - Davis,4.1,82,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",$$
Stand Up Kabob,4.5,75,"Middle Eastern, Persian/Iranian",NaN
Cafe 110,2.5,8,"American, Coffee & Tea",$
McDonald's,2.6,216,"Fast Food, Burgers, Coffee & Tea",$
Street Cravings,4.3,14,"Food Trucks, Tacos, Sandwiches",NaN
Steve's Pizza,3.6,265,"Pizza, Italian",$$
Say Cheese,5,1,Specialty Food,NaN
The Gunrock,3.9,58,New American,$$
Fluffy Donuts,4.2,312,"Donuts, Coffee & Tea, Bagels",$
Baba’s Chaska Point,4.8,9,"Food Trucks, Burgers, Pakistani",NaN
Mandalay Express,5,1,Vietnamese,NaN
Mishka's Cafe,3.8,568,Coffee & Tea,$$
Dos Coyotes Border Cafe,3.6,491,"Tex-Mex, Tacos",$$
TxMx Grill,2.9,9,"Food Court, Mexican",$
Bare Juices,3.8,17,"Juice Bars & Smoothies, Food Stands",NaN
Wines In Tandem,5,3,"Wine Tasting Room, Beer, Wine & Spirits",NaN
Scrubs Cafe,3.3,37,"Coffee & Tea, Breakfast & Brunch, Burgers",$
Dunloe Brewing - The Local,4.7,26,Breweries,NaN
Aggie Yogurt,4,52,Ice Cream & Frozen Yogurt,NaN
Shah's Halal Food - UC Davis Silo,4.2,19,"Halal, Falafel, Food Trucks",NaN
Kona Ice,5,13,"Shaved Ice, Food Trucks, Caterers",NaN
The Pepper Peddler,4.8,4,Coffee & Tea,NaN
Coho South Cafe,3.2,20,"Coffee & Tea, Sandwiches, Cafeteria",$$
Rare Tea - Davis,3.5,199,Bubble Tea,$
King Hall Coffee,5,1,"Coffee & Tea, Bakeries",NaN
Dunloe Brewing,4.6,74,Breweries,$$
University Of Beer,3.9,269,"Beer Bar, Sports Bars, Brewpubs",$$
Cenario's Pizza of Davis,3.7,118,"Pizza, Chicken Wings, Italian",$
Mountain Mike's Pizza,3.8,76,"Pizza, Chicken Wings",$$
Segundo Dining Commons,3.7,55,Cafeteria,$
Bangin Bowls,1,1,Latin American,NaN
Calzone Life,1,1,"Food Delivery Services, Italian, Pizza",NaN
The Davis Beer Shoppe,4.3,267,"Beer, Wine & Spirits",$$
Panda Express,2.4,152,"Chinese, Fast Food",$
Chipotle Mexican Grill,2.7,327,"Mexican, Fast Food",$$
KFC,1.7,196,"Fast Food, Chicken Wings, Chicken Shop",$
Peet's Coffee at the ARC,3.4,5,Coffee & Tea,NaN
TOGO'S Sandwiches,3.3,78,"Sandwiches, Fast Food, Salad",$
Aggie Liquor & Deli,3.3,31,"Beer, Wine & Spirits",$
MandRo Teahouse,3.9,630,"Bubble Tea, Desserts, Shaved Snow",$$
Silo,2.8,36,Fast Food,$
